Checked-RK,Checked-FAM,study,year,Study,UniqueStudy,Etiology,Side deaf,Severeity,Number Hearing loss,HL Male,HL Female,HL age,HL Age sd,HL rangeLow,HL rangeHigh,Avg dB HL mean,Avg dB HL SD,LeftEarHL-mean,LeftEarHL-sd,LeftEarHL-range,RightEarHL-mean,RightEarHL-sd,RightEarHL-range,SIGN,Number Control,Con Male,Con Female,Con Age,Con Age sd,Con rangeLow,Con rangeHigh,MRI Tesla,AcqMatrix-x,AcqMatrix-y,Slices,thickness(mm),FOV (cm),Type,GeneralType,Technique,Directions,System,MNI-x,MNI-y,MNI-z,Brodmann,Big area,ROI,Side,measure,matter,normal leaning,Deaf leaning,effect,Cohen's d,CC r ,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,LGN,right,Thickness,GM+WM,,,decrease,0.2127,0.1058,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,LGN,asymmetry,asymmetry,GM+WM,rightward,leftward ,increase,0.0135,0.0068,increased leftward leaning
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,MGN,left,Thickness,GM+WM,,,decrease,0.1389,0.0693,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,MGN,right,Thickness,GM+WM,,,decrease,0.228,0.1133,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,MGN,asymmetry,asymmetry,GM+WM,rightward,leftward ,increase,0.0212,0.0106,increased leftward leaning
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,SC,left,Thickness,GM+WM,,,decrease,0.2186,0.1086,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,SC,right,Thickness,GM+WM,,,decrease,1.2462,0.5288,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,SC,asymmetry,asymmetry,GM+WM,leftward,rightward,increase,0.7761,0.3618,increased rightward leaning
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,IC,left,Thickness,GM+WM,,,decrease,0.8378,0.3864,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,IC,right,Thickness,GM+WM,,,decrease,0.2365,0.1174,
,,Amaral et al. Eur J Neurosci,2016,21,12,congenital,bilateral,profound,15,2,13,20.4,,17,22,90,,90,,,90,,,CSL,16,3,13,20.1,,,,3,256,256,144,1.33,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,thalmus,IC,asymmetry,asymmetry,GM+WM,rightward,rightward,increase,0.326,0.1609,increased rightward leaning
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,frontal,frontal,bilateral,FA,WM,,,decrease,0.381,0.1871,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,frontal,frontal,bilateral,MD,WM,,,increase,2,0.7071,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,frontal,frontal,bilateral,RD,WM,,,increase,2,0.7071,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,Motor zone,Motor zone,bilateral,FA,WM,,,increase,0.4967,0.241,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,Motor zone,Motor zone,bilateral,MD,WM,,,same,0,0,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,Motor zone,Motor zone,bilateral,RD,WM,,,same,0,0,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,somatosensory,somatosensory,bilateral,FA,WM,,,increase,0.5184,0.2509,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,somatosensory,somatosensory,bilateral,MD,WM,,,decrease,1.4142,0.5773,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,somatosensory,somatosensory,bilateral,RD,WM,,,same,0,0,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,temporal lobe,temporal,bilateral,FA,WM,,,increase,0.386,0.1895,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,temporal lobe,temporal,bilateral,MD,WM,,,same,0,0,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,temporal lobe,temporal,bilateral,RD,WM,,,same,0,0,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,parietal,parietal lobe,bilateral,FA,WM,,,increase,0.2457,0.1219,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,parietal,parietal lobe,bilateral,MD,WM,,,increase,0.6325,0.3015,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,parietal,parietal lobe,bilateral,RD,WM,,,same,0,0,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,occipital,occipital,bilateral,FA,WM,,,decrease,0.0518,0.0259,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,occipital,occipital,bilateral,MD,WM,,,increase,1,0.4472,
,,Lyness et al. Neuroimage,2014,22,13,congenital,bilateral,profound,13,6,7,17.29,4.68,,,,,,,,,,,BSL,13,3,10,,,,,1.5,,,46,1,,SE-EPI,SE-EPI,DTI,64,FMRIB,,,,,occipital,occipital,bilateral,RD,WM,,,increase,1,0.4472,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,BA41,temporal lobe,HG,bilateral,FA,WM,,,decrease,1.3086,0.5475,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,BA42,temporal lobe,HG,bilateral,RD,WM,,,increase,1.1086,0.4848,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,temporal lobe,HG,bilateral,AD,WM,,,same,0.4677,0.2277,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,temporal lobe,pSTG,bilateral,FA,WM,,,decrease,0.7638,0.3568,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,temporal lobe,pSTG,bilateral,RD,WM,,,increase,0.4875,0.2368,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,temporal lobe,pSTG,bilateral,AD,WM,,,increase,0.0905,0.0452,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,temporal lobe,aSTG,bilateral,FA,WM,,,decrease,0.6166,0.2946,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,temporal lobe,aSTG,bilateral,RD,WM,,,same,0.1402,0.0699,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,temporal lobe,aSTG,bilateral,AD,WM,,,same,0.0239,0.0119,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,temporal lobe,pSTG,asymmetry,FA,WM,,rightward,increase,0.9097,0.414,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,corpus callosum,splenium of corpus callosum,bilateral,FA,WM,,,decrease,0.6553,0.3114,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,corpus callosum,splenium of corpus callosum,bilateral,RD,WM,,,increase,0.6066,0.2902,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,corpus callosum,splenium of corpus callosum,bilateral,AD,WM,,,increase,0.3239,0.1599,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,BA41,temporal lobe,HG,bilateral,volume,WM,,,decrease,1.5783,0.6195,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,BA42,temporal lobe,HG,asymmetry,volume,WM,,,decrease,0.7332,0.3442,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,temporal lobe,aSTG,right,volume,WM,,,decrease,0.8409,0.3876,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,temporal lobe,pSTG,bilateral,volume,WM,,,decrease,0.7156,0.3369,
,,Karns et al. Hear Res,2017,23,14,congenital,bilateral,profound,23,6,17,28,6.71,,,90,,90,,,90,,,ASL,26,12,14,,,,,3,128,128,32,2,25.6,SE-EPI,SE-EPI,DTI,60,FMRIB,,,,,corpus callosum,splenium of corpus callosum,bilateral,volume,WM,,,same,0.2863,0.1417,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,192,256,176,1,,MP-RAGE,T1,VBM,,FreeSurfer,,,,BA41,temporal lobe,HG,left,Thickness,WM,,,decrease,0.8993,0.4101,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,192,256,176,1,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,cerebellum,cerebellum,right,Thickness,GM,,,increase,0.7975,0.3704,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,192,256,176,1,,MP-RAGE,T1,VBM,,FreeSurfer,,,,,cerebellum,cerebellum,left,Thickness,GM,,,increase,0.7975,0.3704,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,192,256,176,1,,MP-RAGE,T1,VBM,,FreeSurfer,-9,31,40,BA8,frontal,SFG,left,Thickness,GM,,,decrease,1.5881,0.6218,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,192,256,176,1,,MP-RAGE,T1,VBM,,FreeSurfer,-48,-54,35,BA39,parietal,supramarginal gyrus,left,Thickness,GM,,,decrease,1.5881,0.6218,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,BA41,temporal lobe,HG,right,FA,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,temporal lobe,planum polare,right,FA,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,temporal lobe,planum temporale,right,FA,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,temporal lobe,STG,right,FA,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,insular cortex,insular cortex,right,FA,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,thalmus,retrolenticular part of internal capsule,right,FA,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,thalmus,posterior thalamic radiation,right,FA,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,sagittal stratum,sagittal stratum,right,FA,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,external capsule,external capsule,right,FA,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,cingulate cortex,cingulate gyrus anterior division,right,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,BA25,cingulate cortex,subcallosal cortex,right,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,BA41,temporal lobe,HG,left,FA,WM,,,decrease,0.7605,0.3554,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,BA41,temporal lobe,HG,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,temporal lobe,planum temporale,left,FA,WM,,,decrease,0.7605,0.3554,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,temporal lobe,planum temporale,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,temporal lobe,planum polare,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,temporal lobe,STG,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,cingulate cortex,cingulate gyrus anterior division,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,insular cortex,insular cortex,left,AD,WM,,,decrease,0.7975,0.3554,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,cingulate cortex,subcallosal cortex,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,frontal,frontal medial cortex,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,frontal,SFG,left,AD,WM,,,decrease,0.7975,0.3554,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,frontal,AD Frontal orbital cortex,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,frontal,cerebral peduncle,left,AD,WM,,,decrease,0.7975,0.3554,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,thalmus,anterior limb of the internal capsule,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,thalmus,posterior limb of the internal capsule,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,thalmus,retrolenticular part of internal capsule,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,thalmus,anterior corona radiata,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,thalmus,superior corona radiata,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,thalmus,posterior corona radiata,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,thalmus,external capsule,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,corpus callosum,corpus callosum genu,left,AD,WM,,,decrease,0.8423,0.3881,
,,Hribar et al. Hear Res,2014,24,15,congenital,bilateral,profound,14,6,8,35.4,6,23,50,90,,90,,,90,,,SSL,14,6,8,30.5,5.2,23,50,3,122,122,62,2,,SE-EPI,SE-EPI,DTI,,AFNI,,,,,corpus callosum,body of corpus callosum,left,AD,WM,,,decrease,0.8423,0.3881,
,,Huang et al. PLoS One,2015,25,16,congenital,bilateral,profound,24,14,10,4.7,1,,,90,,90,,,90,,,CSL,20,10,10,4.2,2.9,,,1.5,128,128,,2,,SE-EPI,SE-EPI,DTI,15,GE-Work,,,,,brainstem,TB,bilateral,FA,WM,,,decrease,0.6325,0.3015,
